ad_creation_date,dollar_price
2016-03-03,8164.916666666667
2016-03-04,6210.315789473684
2016-03-05,6819.844537815126
2016-03-06,7874.488549618321
2016-03-07,6773.944444444444
2016-03-08,6045.64010989011
2016-03-09,6452.310734463277
2016-03-10,6234.561688311688
2016-03-11,6441.8317757009345
2016-03-12,6761.832807570978
2016-03-13,7394.865921787709
2016-03-14,6343.015228426396
2016-03-15,6443.58875739645
2016-03-16,6924.5901639344265
2016-03-17,7013.096153846154
2016-03-18,6683.090909090909
2016-03-19,6443.05572755418
2016-03-20,7042.824858757062
2016-03-21,6341.804347826087
2016-03-22,6480.12462006079
2016-03-23,7603.887323943662
2016-03-24,7000.555910543131
2016-03-25,6939.303571428572
2016-03-26,7108.753943217665
2016-03-27,6591.57337883959
2016-03-28,7219.61797752809
2016-03-29,6601.189910979228
2016-03-30,6883.099415204679
2016-03-31,6842.019292604502
2016-04-01,7315.2
2016-04-02,7257.21387283237
2016-04-03,6873.7734375
2016-04-04,7244.863760217983
2016-04-05,6817.844660194175
2016-04-06,8144.708333333333
2016-04-07,4551.875
