ad_creation_date,dollar_price
2016-03-03,4298.615384615385
2016-03-04,4824.872727272727
2016-03-05,5461.989552238806
2016-03-06,5221.964444444445
2016-03-07,5362.883131201764
2016-03-08,5212.910125142207
2016-03-09,4910.480176211454
2016-03-10,4867.992654774396
2016-03-11,4893.962382445141
2016-03-12,5089.5511811023625
2016-03-13,5326.910869565218
2016-03-14,5033.84390735146
2016-03-15,4699.427783902976
2016-03-16,4950.542662116041
2016-03-17,5507.0915576694415
2016-03-18,5444.502551020408
2016-03-19,5170.690547263682
2016-03-20,5265.008910891089
2016-03-21,4986.903553299492
2016-03-22,4411.187214611872
2016-03-23,4864.690156599552
2016-03-24,5157.2284023668635
2016-03-25,5231.75704989154
2016-03-26,5619.493865030675
2016-03-27,5618.24703087886
2016-03-28,4900.784150156413
2016-03-29,5539.510813594233
2016-03-30,4932.279094827586
2016-03-31,5366.874481327801
2016-04-01,5358.04157782516
2016-04-02,5259.243628950051
2016-04-03,5640.495629370629
2016-04-04,5157.1802054155
2016-04-05,5075.374193548387
2016-04-06,5006.364705882353
2016-04-07,4459.9375
