ad_creation_date,dollar_price
2016-03-03,4085.5714285714284
2016-03-04,3044.8571428571427
2016-03-05,3515.491869918699
2016-03-06,2995.73125
2016-03-07,3063.4155844155844
2016-03-08,2734.40350877193
2016-03-09,2940.6373056994817
2016-03-10,2615.3901098901097
2016-03-11,2860.863888888889
2016-03-12,3007.086720867209
2016-03-13,3296.930693069307
2016-03-14,2864.689149560117
2016-03-15,2871.6783783783785
2016-03-16,2880.5163204747773
2016-03-17,2846.7114845938377
2016-03-18,2876.028368794326
2016-03-19,3231.5375
2016-03-20,3297.7788697788696
2016-03-21,3009.4330484330485
2016-03-22,2983.091891891892
2016-03-23,2894.041297935103
2016-03-24,3042.41504178273
2016-03-25,2972.807799442897
2016-03-26,3232.11590296496
2016-03-27,2999.4115942028984
2016-03-28,3099.733333333333
2016-03-29,3213.7708333333335
2016-03-30,2924.213333333333
2016-03-31,3089.697142857143
2016-04-01,3156.802110817942
2016-04-02,3511.7657004830917
2016-04-03,3188.3232931726907
2016-04-04,3176.958024691358
2016-04-05,3153.537878787879
2016-04-06,2211.590909090909
2016-04-07,3989.8
